word,definition
MASSESI,I Toscani che fanno provincia con i Carraresi
NEGROMANTE,Celebre commedia dell'Ariosto
MISERRIME,Poverissime
SUMA,La Marina del film Sapore di mare
TARA,Si detrae dal lordo
CARME,Orazio scrisse quello secolare
HARDCOVER,Libro con la copertina rigida
ROSASPINA,La Bella Addormentata nel bosco dei fratelli Grimm
MELA STREGATA,La mangia Biancaneve
CACCIAGUIDA,Nel XVII canto del Paradiso predice l'esilio a Dante
FUSO,Punge la Bella Addormentata
AURORA,La bella addormentata nel bosco della Disney
WILHELM,Uno dei fratelli Grimm
THERON,"Charlize __, bella attrice"
LAMPONE,Frutto di bosco nel profumo di certi vini rossi
SIMPLICIO,Il Santo patrono di Olbia
INTRA,"Enrico __, famoso jazzista"
SPARTANO,"Severo, parco nei consumi"
MUFFA,Un prodotto dell'umidità
NESTA,"Alessandro __, ex calciatore fra i mondiali del 2006"
QUIRINALE,È stato fino al 1946 la residenza del re d'Italia
PTT,Esame che valuta la coagulazione del sangue
WERTHER,Il giovane di cui Goethe descrisse i dolori
RINOIATRA,Il medico specialista delle malattie del naso
REUMI,Dolori provocati dall'umidità
REUMI,Dolori della vecchiaia
REUMI,Colpiscono le articolazioni
REUMATISMI,Li acutizza l'umidità
REUMATISMI,Dolori che affliggono gli anziani
REUMI,I dolori articolari provocati dall'umidità
ARTRITE,Causa dolori alle giunture
REUMA,Dolore muscolare
RETRIVI,"Reazionari, retrogradi"
RETRIVI,Ostili al progresso
RETRIVO,Contrario al progresso
COLLEGIO,Circoscrizione elettorale
COLLABORATORI,Aiutano nel lavoro
ARMONIA,La scienza musicale che si occupa degli accordi
TAMERICE,Un arbusto dai fiori rosa
MENTOLO,Aromatizza certe sigarette
SNORKEL,Il tubo che dà aria ai sottomarini
RESINA,Aromatizza l'aria in pineta
RESINA,Lo è la trementina
RESINA,La colla dei pini
MIRTO,Aromatizza un forte liquore sardo
AGHI,Formano un soffice tappeto nelle pinete
MANGIAFUMO,La candela per purificare l'aria
PROVOCANTI,Lo sono gli atteggiamenti delle pin-up
STIVA,È ampia nelle navi mercantili
TIFO,Si scatena durante il campionato
MICOL,"La figlia di Saul, sposa di Davide"
SCUSE,Se sono magre non convincono
RAGIONI,Non vuole intenderle l'ostinato
AGITATO,Scosso dal nervosismo
MEDORO,Il saraceno che sposò Angelica
FERITOIE,Fessure per bocche da fuoco
CIALDONE,Il cannoncino che si mangia con la panna montata
SPINGARDA,Cannoncino da caccia
CREMA,Il ripieno del cannoncino
IBIS,Uccello che era sacro nell'antico Egitto
STUOIE,Graticci di canne
CARLO IL GROSSO,L'imperatore figlio di Ludovico il Germanico
IUS,Il diritto di Giulio Cesare
TAI,Il chi arte marziale cinese
ESTETA,Per lui il bello è tutto!
EROE,Si premia con una medaglia
TOP,La class più esclusiva
CERN,"Ha laboratori con gli acceleratori di particelle, in Svizzera"
ARRONDISSEMENT,Suddivisione amministrativa d'una città francese
RESORT,Un hotel con molte attrattive
REOSTATO,Resistenza elettrica variabile
RENDICONTO,Consuntivo
RENDICONTO,Si presenta per giustificare le spese
RENDICONTO,Si fa giustificando le spese
CIRCONDARIO,Suddivisione amministrativa di un territorio
REPORTAGE,La relazione del cronista
STOLE,Le sciarpe per sacerdoti
GRAFFIO,Una lievissima ferita superficiale
POLLICE,Il dito che l'uomo ha opponibile
BALOCCHI,Pinocchio ne visita il paese
ITALIANO,Lo masticano certi stranieri
RAVIOLI,Si mangiano in brodo o al sugo
AZIONE,Un titolo quotato in Borsa
CASSA DEPOSITI E PRESTITI,Ente finanziario dello Stato
BENCHMARK,Un riferimento finanziario
RENDICONTO,Relazione della gestione
CRAC,Improvviso dissesto finanziario
INERENTE,In stretta relazione
TIPINO,Una personcina dal carattere originale
PERENTORIA,"Categorica, indiscutibile"
WATTS,La Naomi di King Kong
MORRISON,Jim __: fu il leader dei Doors
SCOLA,Ettore __: diresse C'eravamo tanto amati
BATTIATO,Franco __ : lanciò la popolare canzone L'era del cinghiale bianco
ASSI,Le carte che a poker valgono di più
NARSETE,Storico generale bizantino
GIAELE,Uccise il generale Sisara
STILICONE,Il generale dei Romani che sconfisse Alarico a Verona
BARATIERI,Generale italiano che fu governatore d'Eritrea
BOY,Lo è stato ogni man
COETANEA,Una dello stesso anno
MARTEDÌ,"Quello di carnevale è ""grasso"""
REMUNERATA,Pagata per un lavoro
REMOTO,Assai lontano nel tempo
REMOTO,Trascorso da antica data
REMOTI,Lontani nel tempo
REMORE,Fanno esitare nell'azione
REMORE,Scrupoli che trattengono
HARDWARE,L'insieme delle apparecchiature d'un computer
PARELIO,L'immagine apparente del Sole formata da aloni
PARITÀ,L'uguaglianza di diritti e di doveri
RETROATTIVA,Lo è la legge che ha efficacia anche in relazione al passato
MIXOMA,Una neoplasia delle valvole cardiache
STUBE,La sala con la stufa
AMOR DEI,Agostino lo opponeva all'amor sui
FORT KNOX,La base militare più preziosa
PIOVANA,Così è l'acqua da cui ci ripara l'ombrello
DIES,Giorno... latino
PANTS,Gli hot che si indossano
RAMADAN,Il mese del digiuno per i Musulmani
RAMPICHINO,Un passeraceo simile al picchio
RAG,Sa di contabilità
RAG,Un esperto contabile
RAG,Un diplomato (abbr.)
RAGIONIERE,Un esperto di contabilità
RAGIONIERE,Un diplomato nell'amministrazione
RAGIONIERE,Il tecnico dei bilanci
RAG,Un contabile (abbreviazione)
GEOMETRA,Un tecnico edile
TERMOSTATO,Si regola nel frigo
SONAGLIO,Un campanello del collare
STERPAGLIA,Terreno pieno di rovi
CRESCERE,Aumentare
MANIPOLAZIONI,Imbrogli da prestigiatore
GIOCARE,Piace a tutti i bambini
AVATI,Ha diretto Lei mi parla ancora
TORCINASO,Il veterinario lo usa per tener fermo un cavallo
MENTONIERA,Permette di tener fermo il violino
TENNISTA,Lo sportivo che quando gioca scende a rete
TENACE,Caparbio
TENACE,Uno che non demorde
TENACE,"Fermo, che non molla"
ODIO,Sentimento di forte e persistente avversione
ASSERZIONE,Un giudizio fermo e convinto
TESSERATO,Lo è un atleta vincolato a una società sportiva
CIRCUS,"Piccadilly __, la celebre piazza londinese"
ARTIGIANATO,Un settore dell'occupazione
ATP,Un composto nelle cellule
SKYLINE,Il profilo degli edifici di una città sull'orizzonte
SCARPA D'ORO,Un premio internazionale per i goleador
TAV,La linea ferroviaria Milano-Torino
PANIERAI,Artigiani che fanno ceste
INTERISTI,Tifano per i nerazzurri milanesi
INTERISTI,Tifosi nerazzurri
MILAN,Rossoneri al Meazza
CRETINI,Fanno un uso molto limitato del cervello
FERRARESE,Fa il tifo per la Spal
SUSI,La amica di Gianni che pone quesiti
RETI NEURALI,Sono utilizzate per dotare i computer di intelligenza artificiale
MOSTI,Ribollono nei tini
FONTI,Sorgenti di acqua potabile
LAGOTTO,Il cane romagnolo per la cerca del tartufo
TARTUFI DI MARE,Pregiati molluschi del Mediterraneo
VOLPINI,Razza di cani dal muso caratteristico
GUAITI,I lamenti di Fido
GUAITI,Li emette il cagnolino
GUAITI,I gemiti del cucciolo
LAI,I lamenti poetici
CINOFOBIA,Morbosa paura dei cani
ACCADEMIA,Ne fa chi si abbandona a virtuosismi inutili
DIDASCALIE,Le scritte sotto le foto
PALLACANESTRO,Lo sport per i più alti
SAINT VINCENT E GRENADINE,Lo Stato con le Piccole Antille con capitale Kingstown
SAINT MORITZ,Famoso centro invernale dell'Engadina
SAGOMA,La figura bersaglio del poligono
SILI,Depositi per i cereali
IMBOSCATE,Assalti a sorpresa
ANNONA,L'ufficio dei viveri
REAGENTI,Il chimico li usa nelle analisi
MANNINO,Una comica Teresa
FOLLE,Non ha la mente sana
MEDITERRANEO,Ha inizio dallo Stretto di Gibilterra
TANGERI,Il porto del Marocco situato sullo Stretto di Gibilterra
PESCE CAVALIERE,Nello Stretto di Messina lo chiamano così per via della lunga spada
CORRIDOIO,Vi si affacciano le porte
CORRIDOIO,Vi si aprono le porte
CORRIDOIO,Unisce varie stanze
RISCATTO,Il disimpegno al Monte di Pietà
TANGERI,Si affaccia sullo Stretto di Gibilterra
SDRUCIRE,Aprire lungo le cuciture
IPOGEO,Vano sotterraneo per tombe
SATIRICO,"Beffardo, graffiante"
DUE,Divide tutti i numeri pari
INAMIDARE,Irrigidire colletti e polsini
SOS,È stato un famoso brano degli Abba
AMARRE,Funi per l'ormeggio
CATENARIA,"Il sistema di ormeggio con il peso morto, nelle marine"
AMARRA,Una grossa fune da ormeggio
GAVITELLI,Segnalano le ancore
AMARRA,Cavo d'ormeggio
OE,In fondo alle boe
MILANESITÀ,La peculiarità di chi è nato sotto la Madonnina
APPROPINQUARSI,"Avvicinarsi, accostarsi"
ENTERPRISE,L'astronave di Star Trek
TOPKAPI,Il palazzo di Istanbul con un favoloso tesoro
SUDANESI,Gli Africani di Khartum
ANEURISMA,Può causarlo l'arteriosclerosi
ANCIRANI,I Turchi nativi di Ankara
AUSTRIACHE,Native di Graz o Salisburgo
CAICCHI,Barche turche
REPLICA,Una risposta bruciante
LIST,"Mailing __, elenco di indirizzi"
GRISHAM,Il John autore di gialli
CONTRORIFORMA,La risposta cattolica al Protestantesimo
ARIOSI,Ventilati e pieni di luce
IRA,Era terribile quella di Giove
REATTORE NUCLEARE,Si alimenta con l'uranio
ENTOMOLOGIA,Lo studio degli insetti
IDRAULICA,La scienza che si occupa dei liquidi
POMPA,Serve per sollevare liquidi
ACUSTICA,Parte della fisica che studia i suoni
SEMIOTICA,Studia i segni linguistici
TOR,__ Pignattara: è parte di Roma
SUPERGALASSIA,È formata da più sistemi stellari
BIBLIOGRAFIA,L'insieme degli scritti su un argomento
SPACCANAPOLI,Libro di racconti di Rea
SFACCIATAGGINE,"Quando è bella, ci vuole coraggio"
TORDELA,È più grossa del merlo
MIRADOLO,Centro termale del Pavese
DIAFRAMMI,Le aperture... fotografiche
PACEMAKER,L'apparecchio che stimola i battiti cardiaci
DAGHERROTIPIA,Primitiva tecnica fotografica
OBIETTIVO,È intercambiabile nelle reflex
OBIETTIVO,Lo è il grandangolare
META,Fine da raggiungere
DIAFRAMMA,L'apertura fotografica
DIAFRAMMA,Elemento divisorio
DIAFRAMMA,Separa la cavità toracica da quella addominale
SAFARI,Una caccia... fotografica
AUTOSTARTER,La macchina del trotter
ZAMPONE,È insaccato nella cotenna
PELLE,A ciascuno preme la propria
VIRTÙ,Si fa di necessità
GELSO,L'albero delle more
MAL,Quel di mare scombussola
TRAPANI,Arnesi da officina
SALATAMENTE,Così paga chi paga caro
IDEFIX,Il cagnolino nei fumetti di Asterix
NANOTECNOLOGIA,La moderna specialità che studia la produzione di oggetti miniaturizzati
ELEFANTE,Può arricciare interamente il naso
GUIDARE,Condurre una macchina
FIBRE,Con le tessili si fanno stoffe
AURICOLARE,L'hanno certe radioline
COMPRATE,Acquistate con il denaro
MARRON GLACÉ,Castagna candita
GATTEGGIAMENTO,La luminosità propria degli occhi dei felini
AVELLINESI,Gli Irpini del capoluogo
COLTA,"Erudita, dotta"
NFL,Lega del football americano
SANUDO,"Marin __, veneziano: propugnò una Crociata nel 1309"
GUARDI,Il Francesco pittore veneziano del '700
PORTAPACCHI,Si può applicare alla bici
TINTORETTO,Pittore veneziano del '500
SHIATSU,Una tecnica giapponese di massaggi
MARMORINO,Stucco per intonaci
FUNE,Serve come una corda
TREVISO,Città del Veneto sul Sile
LABORATORIO,Lo frequenta il chimico
ITTERO,Il color giallo della pelle
DINI,"Lamberto __, ex Primo Ministro"
DANTISTA,Uno studioso dell'Alighieri
SEMANTICA,Lo studio del significato delle parole
GRANCHIO,Un animale come la grancevola
ASTICE,Il crostaceo detto anche elefante di mare
BERNARDO L'EREMITA,Un crostaceo senza... corazza
GRANCEVOLA,Un gustosissimo crostaceo
GRANCHIO,È meglio pescarlo che prenderlo
GRANCHIO,Si prende sbagliandosi
GRANCHIO,Si prende per sbaglio
DENTE DI CANE,Il crostaceo marino che incrosta le carene
BROCCO,Un cavallo che nessuno vorrebbe avere in custodia
INDECISO,È esitante nella scelta da prendere
EDITORIA,Soffre se nessuno legge
PREGHIERA,Si rivolge ai Santi
UMBERTO,Il nome di Eco
VITI,Piante... per falegnami
SEDICI,Quattro per quattro
INCOGNITE,La X e la Y nelle equazioni
GAMES,Formano il set tennistico
TRANCIARE,"Tagliare, recidere"
TRANCIARE,Mozzare con un colpo netto
POTARE,Tagliare i rami superflui
PIASTRA,Una lamiera per cucinare
LEGATRICI,Sono spesso abbinate alle falciatrici
RIASSUNTO,Si fa quello delle puntate precedenti
CATRAMATA,Lo è la terrazza... impermeabilizzata
TERRESTRI,Forse i Marziani vorrebbero conoscerli
DIFENSIVA,Aggettivo di una linea come la Maginot
ARMADILLO,Un mammifero dal rivestimento corazzato
CLELIA,La giovane donna romana che sfuggì a Porsenna
SPINOZA,Celebre filosofo olandese del '600
NEOTOMISTI,I filosofi che si rifanno alle teorie di san Tommaso
AQUINO,La cittadina di san Tommaso
MORO,Ha carnagione scura
GELOSO,Lo era Otello
MORO,"Otello, il __ di Venezia"
DOMENICANI,I confratelli di san Tommaso d'Aquino
MOTO,Quello perpetuo è un'utopia
TIMONE,Permette la guida dell'imbarcazione
ALDINA,È corteggiata da Nemorino
CLESSIDRA,L'orologio che va a sabbia
MATURANDO,Un liceale dell'ultimo anno
NAZISMO,La dottrina formulata da Adolf Hitler
ESCURSIONI,Gite nei dintorni
ANFIBI,I mezzi che arrivano dal mare
SIRENIDI,Anfibi dalla forma di anguilla affini alle salamandre
VERDONI,Sono affini ai fringuelli
ONISCO,Il crostaceo che si accartoccia non appena lo si tocca
OMOGENEI,"Armonici, affini"
SIMILARI,"Affini, analoghi"
FRULLATORE,Sminuzza e mescola gli ingredienti
LEGHE,Miscugli di metalli
YOGURTERIE,Negozi affini alle gelaterie
ELENCHI,Sono liste di nomi
AZZARDO,Il rischio del giocatore
CUOIAME,Un assortimento di borse e di borsette
INVISIBILI,Così rendeva l'anello di Gige
EURIPIDE,Scrisse Le Troiane e Le Baccanti
USUARIO,Il titolare del diritto di fruire di qualcosa
CAMERA DEI LORD,Vi prendono posto i Pari nel Parlamento del Regno Unito
PODIO,Il più eminente posto d'orchestra
VACANTE,Lo è il posto non occupato
VACANTE,"Non occupato, libero"
VACANTE,Mancante del titolare
DETENERE,Essere titolare di un record
OCCUPARE,Invadere o prender posto
BENNATO,Lo Edoardo di Burattino senza fili
FOSCOLO,Scrisse Dei sepolcri
COMPOSITORE,L'autore di un brano musicale
FORO TRAIANO,Esteso e monumentale complesso a Roma
QUARTO MONDO,Il complesso di Nazioni povere senza prospettive di sviluppo
TIMONERIA,Il complesso degli organi di sterzo di un veicolo
PARANCO,Riduce lo sforzo nel sollevamento
PARANCO,Moltiplica la forza del sollevatore
PARANCO,Dispositivo con pulegge
FLORA,Il complesso di tutte le piante
PARANCO,Sistema di carrucole
CASTAGNA,Si mangia lessa o arrosto
SCHENGEN,La cittadina che ci ricorda una Convenzione UE
PEANA,Inno in onore di Apollo
LATTE DETERGENTE,Un cosmetico per il viso
FOOTBALL AMERICANO,Lo sport con i quarterback
FORAPAGLIE,Un piccolo uccello palustre
FOÀ,"Carlo __, insigne professore di fisiologia"
FOÀ,Fu un'inconfondibile voce del nostro teatro
FOÀ,Arnoldo __: fu un'inconfondibile voce di teatro e TV
ÉDITH,L'indimenticabile Piaf
FOÀ,Fu un applaudito Arnoldo
INCISIVI,I denti che il coniglio ci mostra
SALARI,Compensi per lavoratori
EQUIVALENZA,Permette di convertire i chilometri in metri
PIANETA DELLA FORTUNA,Il colorato foglietto con l'oroscopo che i suonatori ambulanti davano
MAAT,La dea egizia della bilancia
TRABOCCO,"Arnese per pescare simile a una bilancia, usato sulle coste marchigiane e abruzzesi"
VERGINE,Il segno tra il Leone e la Bilancia
VERGINE,Il segno dello Zodiaco tra il Leone e la Bilancia
VERGINE,Un segno dello Zodiaco
STADERA,Bilancia a un piatto
PUMA,Il carnivoro detto anche leone d'America
CAIANELLO,L'uscita della A1 tra Capua e San Vittore
CATETO,Un lato più corto dell'ipotenusa
IDROVOLANTE,Decolla dall'acqua
METEOROLOGIA,La scienza che prevede il tempo
RAFFREDDAMENTO,Lo richiede il motore surriscaldato
PRIMARIATO,L'ufficio del responsabile del reparto ospedaliero
UVA,Il frutto che si può piluccare
GIORGIONE,Dipinse La tempesta
POP ART,Il genere di pittura di Andy Warhol
ACRILICA,La pittura di molti artisti
TRITTICO,Pittura divisa in tre
TRITTICO,Tre opere dello stesso ciclo
TRITTICO,A quello pucciniano appartiene Gianni Schicchi
ERNST,Il Max precursore della pittura surrealista
EUROPA,Fu divisa dalla cortina di ferro
ATTI,Le parti delle rappresentazioni teatrali
TRONCO,Il fusto degli alberi
COPYRIGHT,Proprietà riservata
ING,Un progettista laureato (abbrev.)
BOTTE,La fa rotolare il cantiniere
NEW YORK,Il suo centro è Manhattan
FILAMENTO,In certe lampadine elettriche
MEDICINA NUCLEARE,Diagnostica e tratta le malattie con radiofarmaci
TAP,Il tocco sullo smartphone
DONALD DUCK,Il vero nome di Paperino
BIP BIP,"Atomino __, personaggio Disney"
PIPPO,L'amicone di Pluto e Topolino
TIP,Fred Astaire lo alternava al tap
TIP,È alternato al tap
TIP,Si alterna al tap ballando
TAP,Il tocco sull'iPhone
TAP,Il tocco con il dito sullo schermo
TAP,Il tocco sul tablet
NONNI,Ogni nipotino ne vorrebbe quattro (ma non sono i doni sotto l'albero di Natale)
DISNEY,Il Walt creatore di Topolino
SCALTRO,"Furbo, che agisce con astuzia"
DENSO,Così è il vino passito
RETTI,Gli angoli né acuti né ottusi
CONDITI,Cosparsi d'olio e aceto
STANATA,Cacciata dal covo
UTOPISTA,"Visionario, sognatore"
TARTUFAIA,Un terreno dove si possono raccogliere preziosi tuberi
FIENAIE,Falci dal lungo manico
TRAM,Il Jumbo è il più lungo
LECCA LECCA,Una caramella con il manico
MIETITORE,Percorre il campo reggendo la falce
JUMBOTRAM,Lungo veicolo urbano
INTONACI,Si iniziano con il rinzaffo
MASSERIE,"Fattorie, aziende agricole"
MANTE,Grandi pesci alati
UNICA,Così è l'occasione che non si ripete
VELCRO,Può sostituire bottoni o cerniere
CIFRARI,Si usano per i messaggi segreti
NYLON,Una fibra per collant
BROCCIATRICE,Macchina utensile per eseguire profili nel metallo
GODRONE,Utensile da tornio per effettuare zigrinature
APRISCATOLE,Un utensile da cucina
SARTI,Sono abili nel tagliare
VELI,Tessuti trasparenti
